Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
CKRD 1394,Lory,Violet Necked Lory,Male,F34,Lory Aviary,Semi Adult,
CKRD 1403,Lorikeet,Olive swainson lorikeet,Male,F35,Lory Aviary,Semi Adult,
8AJO373,Lorikeet,Olive swainson lorikeet,Female,F35,Lory Aviary,Semi Adult,
CKRD 1425,Lory,Red Lory ,Male,F36,Lory Aviary,Semi Adult,
CKRD 676,Lory,Red Lory ,Female,F36,Lory Aviary,Semi Adult,
CKRD 1421,Lorikeet,Olive swainson lorikeet,Male,F37,Lory Aviary,Semi Adult,
7000,Lorikeet,Olive swainson lorikeet,Female,F37,Lory Aviary,Semi Adult,
CKRD 1588,Lory,Red Lory ,Male,F38,Lory Aviary,Semi Adult,
CKR D 2149,Lory,Red Lory ,Female,F38,Lory Aviary,Semi Adult,
75KZ6213,Lorikeet,Olive swainson lorikeet,Male,F39,Lory Aviary,Semi Adult,
CKRC 297,Lorikeet,Swainson's Lorikeet,Female,F39,Lory Aviary,Semi Adult,
CKRE 1949,Lory,Violet Necked Lory,Female,F40,Lory Aviary,Semi Adult,
CKRD 1581,Lory,Violet Necked Lory,Male,F40,Lory Aviary,Semi Adult,
2000,Lorikeet,Olive swainson lorikeet,Male,F41,Lory Aviary,Semi Adult,
ACE IND 118,Lorikeet,Swainson's Lorikeet,Female,F41,Lory Aviary,Semi Adult,
CKRD 1578,Lory,Violet Necked Lory,Male,F42,Lory Aviary,Semi Adult,
CKRE 526,Lory,Violet Necked Lory,Female,F42,Lory Aviary,Semi Adult,
CKRD 1558,Lory,Red Lory ,Male,F43,Lory Aviary,Semi Adult,
CKRD 1539,Lory,Red Lory ,Female,F43,Lory Aviary,Semi Adult,
CKRD 1399,Lory,Violet Necked Lory,Male,F44,Lory Aviary,Semi Adult,
CKRD 1316,Lory,Violet Necked Lory,Female,F44,Lory Aviary,Semi Adult,
7L 6678,Lorikeet,Olive swainson lorikeet,Male,F45,Lory Aviary,Semi Adult,
T0660192,Lorikeet,Olive swainson lorikeet,Female,F45,Lory Aviary,Semi Adult,
CKRF 474,Lory,Red collared lory,Female,F46,Lory Aviary,Semi Adult,
CKRF 395,Lory,Red collared lory,Male,F46,Lory Aviary,Semi Adult,
ACIND142,Lory,Red Lory ,Male,F47,Lory Aviary,Semi Adult,
CKRD 1633,Lory,Red Lory ,Female,F47,Lory Aviary,Semi Adult,
CKRF 027,Lory,Red collared lory,Male,F48,Lory Aviary,Semi Adult,
CKRF 390,Lory,Red collared lory,Female,F48,Lory Aviary,Semi Adult,
CKRF 339,Lory,Olive Swainson Lory,Male,G03,Lory Aviary,Semi Adult,
CKRE 1892,Lory,Olive Swainson Lory,Male,G04,Lory Aviary,Semi Adult,
CKRE 1579,Lory,Swainson Lory,Male,G05,Lory Aviary,Semi Adult,
CKRE 1222,Lory,Olive Swainson Lory,Male,G06,Lory Aviary,Semi Adult,
CKRD 1449,Lory,Red Lory ,Female,G07,Lory Aviary,Semi Adult,
CKRD 1537,Lory,Olive Swainson Lory,Female,G08,Lory Aviary,Semi Adult,
YUV 35,Lory,Red Lory ,Male,G09,Lory Aviary,Semi Adult,
NO RING,Lory,Black capped lory,Female,G11,Lory Aviary,Semi Adult,
CKRD 1423,Lory,Swainson Lory,Female,G12,Lory Aviary,Semi Adult,
CKRD 614,Lory,Swainson Lory,Female,G17,Lory Aviary,Semi Adult,
CKRD 1594,Lory,Chattering Lory,male,G18,Lory Aviary,Semi Adult,
CKRD 1593,Lory,Chattering Lory,Female,G19,Lory Aviary,Semi Adult,
CKRE 1602,Conure,Sun Conure,Female,G21,Lory Aviary,Semi Adult,
CKRE 1309,Conure,Sun Conure,Female,G22,Lory Aviary,Semi Adult,
CKRE 1631,Conure,Sun Conure,Female,G23,Lory Aviary,Semi Adult,
CKRE 1583,Conure,Sun Conure,Female,G24,Lory Aviary,Semi Adult,
ZA08 457,Lory,Red Lory ,Male,G25,Lory Aviary,Semi Adult,
ABN3939,Lory,Red Lory ,Female,G26,Lory Aviary,Semi Adult,
CKRD 509,Lory,Olive Swainson Lory,Female,G28,Lory Aviary,Semi Adult,
YUV 26,Lory,Red Lory ,Female,G29,Lory Aviary,Semi Adult,
YUV 327,Lory,Red Lory ,Male,G30,Lory Aviary,Semi Adult,
CKRD 1592,Lory,Chattering Lory,Male,G31,Lory Aviary,Semi Adult,
CKRD 670,Lory,Chattering Lory,Female,G32,Lory Aviary,Semi Adult,
CKRD 697,Lory,Chattering Lory,Male,G34,Lory Aviary,Semi Adult,
CKRD 1640,Lory,Chattering Lory,Female,G35,Lory Aviary,Semi Adult,
CKRD 673,Lory,Red Lory ,Male,G38,Lory Aviary,Semi Adult,
CKRD 1610,Lory,Red Lory ,Female,G38,Lory Aviary,Semi Adult,
CKR D 1554,Lory,Red Lory ,Male,G40,Lory Aviary,Semi Adult,
CKR 26,Lory,Chattering Lory,Female,G41,Lory Aviary,Semi Adult,
MAR068,Lory,Chattering Lory,Male,G41,Lory Aviary,Semi Adult,
CKR D 1541,Lory,Red Lory ,Male,G42,Lory Aviary,Semi Adult,
CKRD 2177,Lory,Red Lory ,Female,G42,Lory Aviary,Semi Adult,
CKRC 377,Lory,Chattering Lory,Female,G43,Lory Aviary,Semi Adult,
CKRD 1596,Lory,Chattering Lory,Male,G43,Lory Aviary,Semi Adult,
CKRF 130,Lory,Red Lory ,Female,G44,Lory Aviary,Semi Adult,
CKRF 1010,Lory,Red Lory ,Male,G44,Lory Aviary,Semi Adult,
MCR 086,Lory,Chattering Lory,Female,G45,Lory Aviary,Semi Adult,
12R07,Lory,Chattering Lory,Male,G45,Lory Aviary,Semi Adult,
CKRD 1527,Lory,Red Lory ,Male,G46,Lory Aviary,Semi Adult,
CKRD 1623,Lory,Red Lory ,Female,G46,Lory Aviary,Semi Adult,
CKRE 1940,Lory,Swainson Lory,Female,G47,Lory Aviary,Semi Adult,
CKRD 1603,Lory,Red Lory ,Female,G48,Lory Aviary,Semi Adult,
CKRD 1204,Lory,Red Lory ,Male,G48,Lory Aviary,Semi Adult,
CKRE 1619,Conure,Sun Conure,Male,H01,Lory Aviary,Semi Adult,
CKRE 1623,Conure,Sun Conure,Female,H01,Lory Aviary,Semi Adult,
CKRE 1587,Conure,Sun Conure,Male,H02,Lory Aviary,Semi Adult,
CKRE 1567,Conure,Sun Conure,Female,H02,Lory Aviary,Semi Adult,
CKRE 1320,Conure,Sun Conure,Female,H03,Lory Aviary,Semi Adult,
CKRE 1582,Conure,Sun Conure,Male,H03,Lory Aviary,Semi Adult,
CKRE 1626,Conure,Sun Conure,Female,H04,Lory Aviary,Semi Adult,
CKRE 1618,Conure,Sun Conure,Male,H05,Lory Aviary,Semi Adult,
CKRE 1956,Conure,Sun Conure,Female,H05,Lory Aviary,Semi Adult,
CKRE 1573,Conure,Sun Conure,Male,H06,Lory Aviary,Semi Adult,
CKRE 1621,Conure,Sun Conure,Female,H06,Lory Aviary,Semi Adult,
CKRE 1290,Conure,Sun Conure,Female,H07,Lory Aviary,Semi Adult,
CKRE 1289,Conure,Sun Conure,Male,H07,Lory Aviary,Semi Adult,
CKRE 1617,Conure,Sun Conure,Female,H08,Lory Aviary,Semi Adult,
CKRE 1625,Conure,Sun Conure,Male,H08,Lory Aviary,Semi Adult,
CKRE 1592,Conure,Sun Conure,Female,H09,Lory Aviary,Semi Adult,
CKRE 1597,Conure,Sun Conure,Male,H09,Lory Aviary,Semi Adult,
CKRE 1345,Conure,Sun Conure,Male,H10,Lory Aviary,Semi Adult,
CKRE 1338,Conure,Sun Conure,Female,H10,Lory Aviary,Semi Adult,
CKRE 1613,Conure,Sun Conure,Male,H11,Lory Aviary,Semi Adult,
CKRE 1319,Conure,Sun Conure,Female,H11,Lory Aviary,Semi Adult,
CKRE 1292,Conure,Sun Conure,Female,H12,Lory Aviary,Semi Adult,
CKRE 1568,Conure,Sun Conure,Male,H12,Lory Aviary,Semi Adult,
CKRE 1275,Conure,Sun Conure,Female,H13,Lory Aviary,Semi Adult,
CKRE 1603,Conure,Sun Conure,Male,H13,Lory Aviary,Semi Adult,
CKRE 1970,Conure,Sun Conure,Female,H14,Lory Aviary,Semi Adult,
CKRE 1647,Conure,Sun Conure,Male,H14,Lory Aviary,Semi Adult,
CKRE 1622,Conure,Sun Conure,Female,H15,Lory Aviary,Semi Adult,
CKRE 1588,Conure,Sun Conure,Male,H15,Lory Aviary,Semi Adult,
CKRE 1277,Conure,Sun Conure,Female,H16,Lory Aviary,Semi Adult,
CKRE 1594,Conure,Sun Conure,Male,H16,Lory Aviary,Semi Adult,
CKRE 1600,Conure,Sun Conure,Female,H17,Lory Aviary,Semi Adult,
CKRE 1634,Conure,Sun Conure,Male,H17,Lory Aviary,Semi Adult,
CKRE 1595,Conure,Sun Conure,Female,H18,Lory Aviary,Semi Adult,
CKRE 1593,Conure,Sun Conure,Male,H18,Lory Aviary,Semi Adult,
LPV 016,Conure,Crimson bellied conure,,H19,Garden,Proven,
1DEERS 176,Conure,Crimson bellied conure,,H19,Garden,Proven,
GB 2927,Conure,Sun conure,Female,H20,Garden,Proven,
GB 2707,Conure,Sun conure,MALE,H20,Garden,Proven,
GLITUS 48,Conure,Crimson bellied conure,Female,H21,Garden,Proven,
AF 25,Conure,Crimson bellied conure,Male,H21,Garden,Proven,
GB 2799,Conure,Sun conure,Male,H22,Garden,Proven,
GB 2868,Conure,Sun conure,Female,H22,Garden,Proven,
JFS11,Lory,Black capped lory,Male,H23,Lory Aviary,Semi Adult,
CKRD 1410,Lory,Chattering Lory,Male,H24,Lory Aviary,Semi Adult,
Ckr 057,Conure,Janday conure,Female,H25,Garden,Proven,
Ckr 21,Conure,Sun conure,Male,H25,Garden,Proven,
GD 2692,Conure,Sun conure,Male,H26,Garden,Proven,
GD 3183,Conure,Sun conure,Female,H26,Garden,Proven,
TJ 0789,Conure,Crimson Bellied conure,Female,I 01,Lory Aviary,Non proven,
AP 72786,Conure,Crimson Bellied conure,Male,I 01,Lory Aviary,Non proven,
137,Conure,Crimson Bellied conure,Male,I 02,Lory Aviary,Non proven,
Huang.480,Conure,Crimson Bellied conure,Female,I 02,Lory Aviary,Non proven,
HMS .19.197,Conure,Crimson Bellied conure,,I 03,Lory Aviary,Non proven,
S.K 319,Conure,Crimson Bellied conure,,I 03,Lory Aviary,Non proven,
163,Conure,Crimson Bellied conure,,I 04,Lory Aviary,Non proven,
3879,Conure,Crimson Bellied conure,,I 04,Lory Aviary,Non proven,
CKR 21,Parrot,Caique,,I 05,Lory Aviary,Proven,
OMC 038,Parrot,Caique,,I 05,Lory Aviary,Proven,
PRCHAEARYRAVS063,Conure,Crimson Bellied conure,,I 06,Lory Aviary,Proven,
AJWA06,Conure,Crimson Bellied conure,,I 06,Lory Aviary,Proven,
G01,Parrot,Caique,,I 07,Lory Aviary,Proven,
No Ring,Parrot,Caique,,I 07,Lory Aviary,Proven,
FAESAL 547,Conure,Crimson Bellied conure,,I 08,Lory Aviary,Non proven,
376,Conure,Crimson Bellied conure,,I 08,Lory Aviary,Non proven,
No ring,Conure,Blue throated Conure,NA,I 09,Lory Aviary,Proven,
No ring,Conure,Blue throated Conure,NA,I 09,Lory Aviary,Proven,
RAGHU 001,Conure,Crimson Bellied conure,,I 10,Lory Aviary,Non proven,
RAJA 110,Conure,Crimson Bellied conure,,I 10,Lory Aviary,Non proven,
CKRE 1614,Conure,Sun Conure,Female,I 11,Lory Aviary,Semi Adult,
CKRE 1596,Conure,Sun Conure,Male,I11,Lory Aviary,Semi Adult,
Hoang .571,Conure,Crimson Bellied conure,Female,I 12,Lory Aviary,Non proven,
6 R.Fo248,Conure,Crimson Bellied conure,Male,I 12,Lory Aviary,Non proven,
CKRE 1589,Conure,Sun and Jandaya,Male,I 13,Lory Aviary,Semi Adult,
CKRE 1569,Conure,Sun and Jandaya,Female,I13,Lory Aviary,Semi Adult,
DVJ 001,Conure,Crimson Bellied conure,,I 14,Lory Aviary,Non proven,
DOONPET 132,Conure,Crimson Bellied conure,,I 14,Lory Aviary,Non proven,
CKRE 1624,Conure,Sun Conure,Female,I 15,Lory Aviary,Semi Adult,
CKRE 1552,Conure,Sun Conure,Male,I 15,Lory Aviary,Semi Adult,
GPWLWL0335515001,Conure,Crimson Bellied conure,,I 16,Lory Aviary,Non proven,
ATR 025,Conure,Crimson Bellied conure,,I 16,Lory Aviary,Non proven,
CKRE 1627,Conure,Sun Conure,Male,I17,Lory Aviary,Semi Adult,
CKRE 1325,Conure,Sun Conure,Female,I 17,Lory Aviary,Semi Adult,
ABML 55937010044,Conure,Crimson Bellied conure,,I 18,Lory Aviary,Non proven,
SIVA 523,Conure,Crimson Bellied conure,,I 18,Lory Aviary,Non proven,
CKRE 1630,Conure,Sun Conure,Female,I 19,Lory Aviary,Semi Adult,
CKRE 1525,Conure,Sun Conure,Male,I 19,Lory Aviary,Semi Adult,
GB 2569,Conure,Crimson Bellied conure,Female,I 20,Lory Aviary,Non proven,
GB 2585,Conure,Crimson Bellied conure,Male,I 20,Lory Aviary,Non proven,
CKRE 1644,Conure,Sun Conure,Female,I 21,Lory Aviary,Semi Adult,
CKRE 1527,Conure,Sun Conure,Male,I 21,Lory Aviary,Semi Adult,
FAISAL125,Conure,Crimson Bellied conure,Female,I 22,Lory Aviary,Non proven,
YM 132,Conure,Crimson Bellied conure,Male,I 22,Lory Aviary,Non proven,
CKRE 1620,Conure,Sun Conure,Female,J01,Lory Aviary,Semi Adult,
CKRE 1629,Conure,Sun Conure,Male,J01,Lory Aviary,Semi Adult,
VPW 10,Lory,Violet Nacked Lory,Female,J02,Lory Aviary,Semi Adult,
CKRD 503,Lory,Violet Necked Lory,Female,J02,Lory Aviary,Semi Adult,
CKRE 1331,Conure,Sun Conure,Female,J03,Lory Aviary,Semi Adult,
CKRE 1274,Conure,Sun Conure,Male,J03,Lory Aviary,Semi Adult,
CKRE 1606,Conure,Sun Conure,Female,J04,Lory Aviary,Semi Adult,
CKRE 1317,Conure,Sun Conure,Male,J04,Lory Aviary,Semi Adult,
CKRE 1814,Conure,Sun Conure,Female,J05,Lory Aviary,Semi Adult,
CKRE 1333,Conure,Sun Conure,Male,J05,Lory Aviary,Semi Adult,
CKRE 1313,Conure,Sun Conure,Female,J06,Lory Aviary,Semi Adult,
CKRE 1343,Conure,Sun Conure,Male,J06,Lory Aviary,Semi Adult,
CKRE 1965,Conure,Sun Conure,Male,J07,Lory Aviary,Semi Adult,
CKRE 1973,Conure,Sun Conure,Female,J08,Lory Aviary,Semi Adult,
CKRE 1336,Conure,Sun Conure,Male,J08,Lory Aviary,Semi Adult,
CKRE 1102,Conure,Sun Conure,Female,J09,Lory Aviary,Semi Adult,
CKRE 1095,Conure,Sun Conure,Male,J09,Lory Aviary,Semi Adult,
CKRE 1097,Conure,Sun Conure,Female,J10,Lory Aviary,Semi Adult,
CKRE 1462,Conure,Sun Conure,Male,J10,Lory Aviary,Semi Adult,
CKRE 1083,Conure,Sun Conure,Female,J11,Lory Aviary,Semi Adult,
CKRE 1093,Conure,Sun Conure,Male,J11,Lory Aviary,Semi Adult,
CKRE 1724,Conure,Sun Conure,Female,J12,Lory Aviary,Semi Adult,
CKRE 1493,Conure,Sun Conure,Male,J12,Lory Aviary,Semi Adult,
CKRE 1727,Conure,Sun Conure,Female,J13,Lory Aviary,Semi Adult,
CKRE 1483,Conure,Sun Conure,Male,J13,Lory Aviary,Semi Adult,
CKRE 1140,Conure,Sun Conure,Male,J14,Lory Aviary,Semi Adult,
CKRE 1099,Conure,Sun Conure,Female,J14,Lory Aviary,Semi Adult,
CKRE 1306,Conure,Sun Conure,Female,J15,Lory Aviary,Semi Adult,
CKR E 1323,Conure,Sun Conure,Male,J15,Lory Aviary,Semi Adult,
CKRE 1500,Conure,Sun Conure,Female,J16,Lory Aviary,Semi Adult,
CKRE 1492,Conure,Sun Conure,Male,J16,Lory Aviary,Semi Adult,
CKRE 1961,Conure,Sun Conure,Male,J17,Lory Aviary,Semi Adult,
CKRE 1726,Conure,Sun Conure,Female,J17,Lory Aviary,Semi Adult,
CKRE 1985,Conure,Sun Conure,Male,J18,Lory Aviary,Semi Adult,
CKRE 1485,Conure,Sun Conure,Female,J18,Lory Aviary,Semi Adult,
CKRE 1766,Conure,Sun Conure,Male,J19,Lory Aviary,Semi Adult,
CKRE 1787,Conure,Sun Conure,Female,J19,Lory Aviary,Semi Adult,
CKRE 1285,Conure,Sun Conure,Male,J20,Lory Aviary,Semi Adult,
CKRE 1780,Conure,Sun Conure,Female,J20,Lory Aviary,Semi Adult,
CKRE 1123,Conure,Sun Conure,Male,J21,Lory Aviary,Semi Adult,
CKRE 1987,Conure,Sun Conure,Female,J21,Lory Aviary,Semi Adult,
CKRE 1491,Conure,Sun Conure,Male,J22,Lory Aviary,Semi Adult,
CKRE 1112,Conure,Sun Conure,Female,J22,Lory Aviary,Semi Adult,
CKRE 1056,Conure,Sun Conure,Male,K01,Lory Aviary,Semi Adult,
CKRE 1126,Conure,Sun Conure,Female,K01,Lory Aviary,Semi Adult,
CKRE 1111,Conure,Sun Conure,Male,K02,Lory Aviary,Semi Adult,
CKRE 1089,Conure,Sun Conure,Female,K02,Lory Aviary,Semi Adult,
CKRE 1114,Conure,Sun Conure,Male,K03,Lory Aviary,Semi Adult,
CKRE 1711,Conure,Sun Conure,Female,K03,Lory Aviary,Semi Adult,
CKRE 1765,Conure,Sun Conure,Male,K04,Lory Aviary,Semi Adult,
CKRE 1998,Conure,Sun Conure,Female,K04,Lory Aviary,Semi Adult,
CKRE 1827,Conure,Sun Conure,Male,K05,Lory Aviary,Semi Adult,
CKRE 1307,Conure,Sun Conure,Female,K05,Lory Aviary,Semi Adult,
CKRE 1565,Conure,Sun Conure,Male,K06,Lory Aviary,Semi Adult,
CKRE 1837,Conure,Sun Conure,Female,K06,Lory Aviary,Semi Adult,
CKRE 1495,Conure,Sun Conure,Male,K07,Lory Aviary,Semi Adult,
CKRE 1118,Conure,Sun Conure,Female,K07,Lory Aviary,Semi Adult,
CKRE 1706,Conure,Sun Conure,Male,K08,Lory Aviary,Semi Adult,
CKRE 1139,Conure,Sun Conure,Female,K08,Lory Aviary,Semi Adult,
CKRE 1131,Conure,Sun Conure,Male,K09,Lory Aviary,Semi Adult,
CKRE 1251,Conure,Sun Conure,Female,K09,Lory Aviary,Semi Adult,
CKRE 2003,Conure,Sun Conure,Male,K10,Lory Aviary,Semi Adult,
CKRE 2027,Conure,Sun Conure,Female,K10,Lory Aviary,Semi Adult,
CKRE 1497,Conure,Sun Conure,Male,K11,Lory Aviary,Semi Adult,
CKRE 1461,Conure,Sun Conure,Female,K11,Lory Aviary,Semi Adult,
CKRE 1802,Conure,Sun Conure,Male,K12,Lory Aviary,Semi Adult,
CKRE 1993,Conure,Sun Conure,Female,K12,Lory Aviary,Semi Adult,
CKRE 1767,Conure,Sun Conure,Male,K13,Lory Aviary,Semi Adult,
CKRE 2004,Conure,Sun Conure,Female,K13,Lory Aviary,Semi Adult,
CKRE 1755,Conure,Sun Conure,Male,K14,Lory Aviary,Semi Adult,
CKRE 1756,Conure,Sun Conure,Female,K14,Lory Aviary,Semi Adult,
CKRE 1478,Conure,Sun Conure,Male,K15,Lory Aviary,Semi Adult,
CKRE 1335,Conure,Sun Conure,Female,K15,Lory Aviary,Semi Adult,
CKRE 1994,Conure,Sun Conure,Male,K16,Lory Aviary,Semi Adult,
CKRE 1348,Conure,Sun Conure,Female,K16,Lory Aviary,Semi Adult,
CKRE 2000,Conure,Sun Conure,Male,K17,Lory Aviary,Semi Adult,
CKRE 1789,Conure,Sun Conure,Female,K17,Lory Aviary,Semi Adult,
CKRE 1476,Conure,Sun Conure,Male,K18,Lory Aviary,Semi Adult,
CKRE 1730,Conure,Sun Conure,Female,K18,Lory Aviary,Semi Adult,
CKRE 1533,Conure,Sun Conure,Male,K19,Lory Aviary,Semi Adult,
CKRE 1646,Conure,Sun Conure,Female,K19,Lory Aviary,Semi Adult,
CKRE 1465,Conure,Sun Conure,Male,K20,Lory Aviary,Semi Adult,
CKRE 1796,Conure,Janday Conure,Female,K20,Lory Aviary,Semi Adult,
CKRE 1760,Conure,Sun Conure,Male,K21,Lory Aviary,Semi Adult,
CKRE 1278,Conure,Sun Conure,Female,K21,Lory Aviary,Semi Adult,
CKRE 1764,Conure,Sun Conure,Male,K22,Lory Aviary,Semi Adult,
CKRE 1701,Conure,Sun Conure,Female,K22,Lory Aviary,Semi Adult,
CKRE 1062,Conure,Sun Conure,Female,M02,Macaw Aviary,Semi Adult,
CKRE 1648,Conure,Sun Conure,Male,M02,Macaw Aviary,Semi Adult,
CKRF 724,Conure,Sun Conure,Male,M02,Macaw Aviary,Semi Adult,
CKRF 880,Conure,Sun and Jandaya,Male,M02,Macaw Aviary,Semi Adult,
CKRE 1293,Conure,Sun Conure,Male,M02,Macaw Aviary,Semi Adult,
CKRF 725,Conure,Sun Conure,Female,M02,Macaw Aviary,Semi Adult,
CKRF 811,Conure,Sun Conure,Male,M02,Macaw Aviary,Semi Adult,
CKRF 722,Conure,Sun Conure,Male,M02,Macaw Aviary,Semi Adult,
CKRE 1340,Conure,Sun Conure,Female,M02,Macaw Aviary,Semi Adult,
CKRF839,Conure,Sun Conure,Female,M02,Macaw Aviary,Semi Adult,
CKRF888,Conure,Sun Conure,Female,M03,Macaw Aviary,Semi Adult,
CKRF840,Conure,Sun Conure,Female,M03,Macaw Aviary,Semi Adult,
No ring,Conure,Sun and Jandaya,NA,M03,Macaw Aviary,Semi Adult,
CKRE 2002,Conure,Sun Conure,Male,M03,Macaw Aviary,Semi Adult,
CKRF872,Conure,Sun Conure,Female,M03,Macaw Aviary,Semi Adult,
CKRF831,Conure,Sun Conure,Female,M03,Macaw Aviary,Semi Adult,
CKRF881,Conure,Sun Conure,Male,M03,Macaw Aviary,Semi Adult,
CKRF 717,Conure,Sun and Jandaya,Female,M03,Macaw Aviary,Semi Adult,
CKRF836,Conure,Sun Conure,Female,M03,Macaw Aviary,Semi Adult,
CKRF841,Conure,Sun Conure,Female,M03,Macaw Aviary,Semi Adult,
CKRF887,Conure,Sun Conure,Female,M04,Macaw Aviary,Semi Adult,
CKRE 1535,Conure,Sun Conure,Female,M04,Macaw Aviary,Semi Adult,
CKRF882,Conure,Sun Conure,Female,M04,Macaw Aviary,Semi Adult,
CKRF 877,Conure,Sun Conure,Male,M04,Macaw Aviary,Semi Adult,
CKR F 712,Conure,Sun Conure,NA,M04,Macaw Aviary,Semi Adult,
CKRF 862,Conure,Sun Conure,Male,M04,Macaw Aviary,Semi Adult,
CKRF 827,Conure,Sun Conure,Male,M04,Macaw Aviary,Semi Adult,
CKRF 151,Conure,Sun Conure,Male,M04,Macaw Aviary,Semi Adult,
CKRF 878,Conure,Sun Conure,Male,M04,Macaw Aviary,Semi Adult,
CKRF838,Conure,Sun and Jandaya,Male,M04,Macaw Aviary,Semi Adult,
CKRF 826,Conure,Sun Conure,Female,M05,Macaw Aviary,Semi Adult,
CKRF 834,Conure,Sun Conure,Male,M05,Macaw Aviary,Semi Adult,
CKRF 858,Conure,Sun Conure,Male,M05,Macaw Aviary,Semi Adult,
CKRF 854,Conure,Sun Conure,Female,M05,Macaw Aviary,Semi Adult,
CKRF 701,Conure,Sun Conure,Male,M05,Macaw Aviary,Semi Adult,
CKRF 748,Conure,Sun Conure,Male,M05,Macaw Aviary,Semi Adult,
CKRF 185,Conure,Sun Conure,Female,M05,Macaw Aviary,Semi Adult,
CKRF 921,Conure,Sun Conure,Male,M05,Macaw Aviary,Semi Adult,
CKRF 707,Conure,Sun Conure,Male,M05,Macaw Aviary,Semi Adult,
CKRF 946,Conure,Sun Conure,Male,M05,Macaw Aviary,Semi Adult,
CKRF 857,Conure,Sun Conure,Female,M06,Macaw Aviary,Semi Adult,
CKRF829,Conure,Sun Conure,Male,M06,Macaw Aviary,Semi Adult,
CKRF 705,Conure,Sun Conure,Female,M06,Macaw Aviary,Semi Adult,
CKRF 710,Conure,Sun Conure,Male,M06,Macaw Aviary,Semi Adult,
CKRF 855,Conure,Sun Conure,Female,M06,Macaw Aviary,Semi Adult,
CKRF 925,Conure,Sun Conure,Male,M06,Macaw Aviary,Semi Adult,
CKRF 711,Conure,Sun Conure,Male,M06,Macaw Aviary,Semi Adult,
CKRF 706,Conure,Sun Conure,Male,M06,Macaw Aviary,Semi Adult,
CKRF 716,Conure,Sun Conure,Male,M06,Macaw Aviary,Semi Adult,
CKRF 703,Conure,Sun Conure,Male,M06,Macaw Aviary,Semi Adult,
CKRF 924,Conure,Sun Conure,Female,M07,Macaw Aviary,Semi Adult,
CKRE 1328,Conure,Sun Conure,Male,M07,Macaw Aviary,Semi Adult,
CKRF 772,Conure,Sun Conure,Male,M07,Macaw Aviary,Semi Adult,
CKRF 718,Conure,Sun Conure,Male,M07,Macaw Aviary,Semi Adult,
CKRF844,Conure,Sun Conure,Female,M07,Macaw Aviary,Semi Adult,
CKRF837,Conure,Sun Conure,Male,M07,Macaw Aviary,Semi Adult,
CKRF 775,Conure,Sun Conure,Female,M07,Macaw Aviary,Semi Adult,
CKRF 861,Conure,Sun Conure,Male,M07,Macaw Aviary,Semi Adult,
CKRF 747,Conure,Sun Conure,Male,M07,Macaw Aviary,Semi Adult,
CKRF866,Conure,Janday Conure,Male,M07,Macaw Aviary,Semi Adult,
CKRF 920,Conure,Sun Conure,Male,M08,Macaw Aviary,Semi Adult,
CKRF 914,Conure,Sun Conure,Female,M08,Macaw Aviary,Semi Adult,
CKRF 944,Conure,Sun Conure,Male,M08,Macaw Aviary,Semi Adult,
CKRF 800,Conure,Sun Conure,Female,M08,Macaw Aviary,Semi Adult,
CKRF 999,Conure,Sun Conure,Male,M08,Macaw Aviary,Semi Adult,
CKRF 871,Conure,Sun Conure,Male,M08,Macaw Aviary,Semi Adult,
CKRF 945,Conure,Sun Conure,Male,M08,Macaw Aviary,Semi Adult,
CKRF 843,Conure,Sun Conure,Female,M08,Macaw Aviary,Semi Adult,
CKRF886,Conure,Sun Conure,Male,M08,Macaw Aviary,Semi Adult,
CKRF 830,Conure,Sun Conure,Male,M08,Macaw Aviary,Semi Adult,
CKRF 948,Conure,Sun Conure,Male,M09,Macaw Aviary,Semi Adult,
CKRF 997,Conure,Sun Conure,Male,M09,Macaw Aviary,Semi Adult,
CKRF 869,Conure,Sun Conure,Male,M09,Macaw Aviary,Semi Adult,
CKRF 771,Conure,Sun Conure,Male,M09,Macaw Aviary,Semi Adult,
CKRF833,Conure,Sun Conure,Male,M09,Macaw Aviary,Semi Adult,
CKRF 873,Conure,Sun Conure,Female,M09,Macaw Aviary,Semi Adult,
CKRF 892,Conure,Sun Conure,Female,M09,Macaw Aviary,Semi Adult,
CKRF 695,Conure,Sun Conure,Female,M09,Macaw Aviary,Semi Adult,
CKRF 958,Conure,Sun Conure,Male,M09,Macaw Aviary,Semi Adult,
CKRF 962,Conure,Sun Conure,Male,M09,Macaw Aviary,Semi Adult,
CKRF 961,Conure,Sun Conure,Female,M10,Macaw Aviary,Semi Adult,
CKRF 1000,Conure,Sun Conure,Female,M10,Macaw Aviary,Semi Adult,
CKRF 967,Conure,Sun Conure,Male,M10,Macaw Aviary,Semi Adult,
CKRF 700,Conure,Sun Conure,Female,M10,Macaw Aviary,Semi Adult,
CKRF 960,Conure,Sun Conure,Female,M10,Macaw Aviary,Semi Adult,
CKRF 694,Conure,Sun Conure,Male,M10,Macaw Aviary,Semi Adult,
CKRF 693,Conure,Sun Conure,Female,M10,Macaw Aviary,Semi Adult,
CKRF 919,Conure,Sun Conure,Male,M10,Macaw Aviary,Semi Adult,
CKRF 699,Conure,Sun Conure,Female,M10,Macaw Aviary,Semi Adult,
